lipid,p_value,significance....ifelse.p_values....0.001.........ifelse.p_values....
SM_.38.1.,3.26556969825401e-05,***
CL_.72.04.,3.30538260563772e-05,***
CL_.68.03.,3.359651814915e-05,***
PE.P_.36.0.,4.10396216894961e-05,***
LysoPAF_.17.0.,4.53281617078124e-05,***
PC_.42.3.,4.74961643379504e-05,***
Cer_.32.0.,4.79036428714573e-05,***
S_.34.1.,5.07378186104215e-05,***
GD3_.42.1.,5.55960900178939e-05,***
S_.36.2.,5.996618182228e-05,***
Lacto.cer_.42.1.,6.32357290041002e-05,***
MGDG_.38.2.,6.56738219450076e-05,***
FFA_.22.1.,6.69172004576146e-05,***
PC.O_.40.2.,7.20213779651765e-05,***
DG_.37.2.,7.76550068731791e-05,***
Lacto.cer_.42.2.,8.46555889412955e-05,***
CL_.70.04.,9.4527566684008e-05,***
Hex.Cer_.35.0.,9.68664527553481e-05,***
GM3_.34.0.,0.000106601,***
GD3_.34.0.,0.000128426,***
Hex.Cer_.42.2.,0.000128902,***
GM1_.34.1.,0.000131229,***
CE_.18.3.,0.000159014,***
PE.P_.34.0.,0.000171599,***
GD1a_.34.1.,0.000173707,***
GM3_.40.1.,0.000203637,***
CL_.74.05.,0.000222336,***
Cer_.42.3.,0.000223794,***
CL_.68.04.,0.000237956,***
FFA_.22.0.,0.000244727,***
CL_.70.05.,0.000246605,***
CL_.72.05.,0.000247916,***
PE_.38.1.,0.000259049,***
GM2_.36.1.,0.000271452,***
PC_.42.1.,0.00030539,***
PS_.40.7.,0.000334052,***
PC_.42.2.,0.000356765,***
GM3_.34.1.,0.00036659,***
GD3_.38.1.,0.000396858,***
Cer_.40.1.,0.000410419,***
LPI_.20.1.,0.000416163,***
LPE_.18.4.,0.000420901,***
CL_.69.04.,0.000428003,***
PC.O_.40.1.,0.000485328,***
TG_.55.3.,0.000595261,***
LPC_.12.0.,0.000602263,***
CL_.66.04.,0.000625349,***
DG_.40.3.,0.000689149,***
CL_.72.06.,0.000708295,***
PE.O_.34.0.,0.0007436,***
PE_.34.0.,0.000794443,***
CL_.66.03.,0.000827448,***
CL_.71.05.,0.000829962,***
PC_.37.0.,0.000838366,***
LPC_.22.5.,0.000942026,***
Cer_.42.1.,0.001039253,**
Cer_.42.2.,0.001172505,**
GD1a_.42.2.,0.001193893,**
TG_.55.6.,0.001272293,**
TG_.55.6..1,0.001272293,**
Lacto.cer_.40.0.,0.001313173,**
PA_.32.1.,0.001329032,**
TG_.57.9.,0.001485034,**
PG_.38.5.,0.00151448,**
S_.36.1.,0.001613487,**
LPE_.22.5.,0.001893692,**
TG_.60.10.,0.001939557,**
PS_.37.2.,0.002118723,**
DG_.38.2.,0.002322515,**
DG_.40.4.,0.002420007,**
PC.O_.33.0.,0.002603447,**
TG_.57.4.,0.002626745,**
PE_.40.1.,0.002679453,**
GM1_.32.0.,0.002838096,**
GM1_.36.0.,0.003112636,**
CL_.69.05.,0.003180966,**
LPE_.22.6.,0.003208566,**
CL_.72.07.,0.003463403,**
TG_.56.8.,0.003579469,**
Cer_.41.1.,0.003615176,**
Cer_.37.2.,0.003862072,**
TG_.50.4.,0.003872755,**
CL_.72.08.,0.004115972,**
CL_.74.08.,0.004221814,**
TG_.58.9.,0.004325842,**
PE.O_.37.4.,0.004636302,**
CL_.68.05.,0.004658442,**
Cer_.33.1.,0.004736398,**
CL_.70.06.,0.00494644,**
CL_.73.06.,0.005455714,**
PC_.37.6.,0.005642512,**
SM_.44.0.,0.005676607,**
CL_.66.01.,0.006037056,**
TG_.50.0.,0.006639428,**
Hex.Cer_.38.2.,0.007114899,**
PE_.40.2.,0.0072681,**
Cer_.39.2.,0.007439822,**
TG_.55.4.,0.007823505,**
PC.O_.31.0.,0.00852135,**
TG_.52.4.,0.009341915,**
CL_.75.06.,0.009574999,**
FFA_.20.0.,0.009933311,**
GM1_.36.1.,0.00997813,**
GB4_.36.1.,0.01001054,*
TG_.53.3.,0.010030181,*
TG_.53.4.,0.010360768,*
CL_.70.07.,0.010524281,*
DG_.36.1.,0.011093328,*
TG_.58.8.,0.011620032,*
TG_.52.3.,0.012062074,*
Hex.Cer_.40.0.OH.,0.012210814,*
PI_.35.1.,0.014441003,*
Hex.Cer_.42.1.OH.,0.014753113,*
MGDG_.36.1.,0.014769439,*
CL_.68.06.,0.01578835,*
Carnitine_.18.2.,0.017363709,*
GM1_.38.2.,0.017395106,*
DG_.33.1.,0.017811486,*
TG_.51.3.,0.018890184,*
TG_.58.7.,0.019089665,*
TG_.52.5.,0.019844518,*
TG_.53.2.,0.020494046,*
CL_.71.04.,0.02128863,*
PG_.37.0.,0.024159903,*
TG_.56.7.,0.024802376,*
TG_.58.6.,0.025426986,*
TG_.50.3.,0.026237065,*
