"lipid","skewness","kurtosis","shapiro_p","shapiro_p_adj","normality"
"TG_.58.4.",2.41571158209269,12.5381486670521,2.59373550453264e-07,7.78120651359791e-07,"Non-normal"
"TG_.58.5.",1.71275459960333,8.29691999664541,2.95746807498071e-05,6.65430316870661e-05,"Non-normal"
"TG_.58.6.",0.900905887798297,4.04456871628568,0.0127744426401251,0.0182906792347245,"Non-normal"
"TG_.58.7.",0.458777288812431,2.87226607957284,0.00212633317157893,0.00352523657393349,"Non-normal"
"TG_.58.8.",0.562529258728877,2.65707864873796,0.0283051710843183,0.0387657777893925,"Non-normal"
"TG_.58.9.",0.684045724955464,3.20527798724873,0.0310787755250519,0.0416587842144312,"Non-normal"
"TG_.59.5.",4.24375353806013,19.5476859117148,1.25604911624422e-15,1.58262188646772e-14,"Non-normal"
"TG_.59.7.",3.05625512540476,13.4113048155058,6.09696552087798e-13,4.80136034769141e-12,"Non-normal"
"TG_.59.8.",1.9817039910788,6.85136324549211,4.18811069970179e-09,2.02962287754779e-08,"Non-normal"
"TG_.59.9.",3.93115308472091,20.9447981704286,3.05020328980214e-13,2.74518296082193e-12,"Non-normal"
"TG_.60.10.",0.700536029716192,3.24552540616941,0.0404211832930709,0.0519700928053769,"Normal"
